09/11 11:15:00 FINE sim.Admin|Log for simulation 20 started
************************************************************
* Log for simulation 20 started
************************************************************


09/11 11:15:00 INFO sim.TACAdxSimulation|TACAA Simulation 20 is setting up...
09/11 11:15:00 INFO sim.TACAdxSimulation|Created Adx Agent
09/11 11:15:00 INFO sim.TACAdxSimulation|Created Demand Agent
09/11 11:15:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
09/11 11:15:00 FINE sim.ExternalAgent|sample setup with address adv1
09/11 11:15:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
09/11 11:15:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
09/11 11:15:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
09/11 11:15:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
09/11 11:15:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
09/11 11:15:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
09/11 11:15:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
09/11 11:15:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
09/11 11:15:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
09/11 11:15:00 INFO agents.DemandAgent|setting up...
09/11 11:15:00 FINE agents.DemandAgent|Finished setup
09/11 11:15:01 INFO sim.Simulation|***** START OF TIME 0 *****
09/11 11:15:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=682414790, reachImps=5882, dayStart=1, dayEnd=5, targetSegment=[MALE, YOUNG], videoCoef=2.3918666767699177, mobileCoef=1.6810664261352837, budgetMillis=5882, advertiser=adv1]
09/11 11:15:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@1a9da212 event: tau.tac.adx.messages.UserClassificationServiceNotification@677b2faa
09/11 11:15:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=71888659, reachImps=1657, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, FEMALE], videoCoef=2.7743278166686736, mobileCoef=1.7886037280964788, budgetMillis=1657, advertiser=DummyAdnetwork]
09/11 11:15:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@1a9da212 event: tau.tac.adx.messages.UserClassificationServiceNotification@4b917b2a
09/11 11:15:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1022090616, reachImps=9540, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, YOUNG], videoCoef=2.4300224742756287, mobileCoef=1.6098227597649826, budgetMillis=9540, advertiser=DummyAdnetwork-2]
09/11 11:15:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@1a9da212 event: tau.tac.adx.messages.UserClassificationServiceNotification@253a330
09/11 11:15:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1092678686, reachImps=10952, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, FEMALE], videoCoef=2.1312963116091344, mobileCoef=2.1016120811057974, budgetMillis=10952, advertiser=DummyAdnetwork-3]
09/11 11:15:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@1a9da212 event: tau.tac.adx.messages.UserClassificationServiceNotification@1288f3b
